transcript_ID,transcript_name,gene_ID,sample_1092_PAM41667,sample_1131_PAM44580,sample_1163_PAM44604,sample_1186_PAM43869,sample_1218_PAM43779,sample_1271_PAM44815,sample_1291_PAG71816,sample_1304_PAM44487,sample_5292_PAG75292,sample_5295_PAG77944,sample_5356_PAM42933,sample_579_PAG75663
ESPRESSO:chr18:13545:90,NA,ENSG00000171885.18,0,0,2.39,0,1.15,4.01,3.76,0,2.97,5.55,1.58,0.1
ESPRESSO:chr18:13547:3,NA,NA,0.86,3.87,0.37,0.36,0.21,0.54,0.53,4.36,1.11,0.99,4.59,0.53
ENST00000674998.1,CDH2-206,ENSG00000170558.10,1.87,1.45,0.61,0.12,2.56,1.44,2.84,0,1.75,3.29,1.25,0.3
ENST00000269141.8,CDH2-201,ENSG00000170558.10,4.32,2.9,4.49,0.12,8.91,9.73,16.08,2.42,11.06,19.9,4.17,8.51
ESPRESSO:chr18:13550:10,NA,NA,7.06,15.96,4.96,0,1.5,10.36,0,0,0,3.46,14.18,2.06
ENST00000654403.2,DSCAS-202,ENSG00000265888.4,1.87,0,1.9,0.85,0.85,0,0.84,0,0.28,0.99,0,0.08
ENST00000237014.8,TTR-201,ENSG00000118271.12,0,0,1.16,114.07,2.67,0.45,2.53,1.45,0.55,0,2.5,0.08
ESPRESSO:chr18:13574:13,NA,ENSG00000153339.15,2.16,0.97,3.19,3.27,2.67,4.14,4.32,6.78,2.58,3.95,0.42,6.24
ENST00000269209.7,GAREM1-201,ENSG00000141441.16,3.3,13.05,2.64,0.54,2.95,0.79,0,1.45,1.79,1.71,3.54,2
ENST00000399218.8,GAREM1-202,ENSG00000141441.16,1.89,0,4.29,0.54,1.11,4.53,4,1.45,1.07,6.85,3.54,0.13
ENST00000261593.8,RNF138-202,ENSG00000134758.14,1.3,0.48,2.75,0.03,0,1.14,1.23,1.8,1.41,0.66,1.46,1.68
ESPRESSO:chr18:13578:9,NA,NA,0,1.93,0.67,1.33,3.2,2.25,1.16,1.45,2.12,2.3,0,1.68
ESPRESSO:chr18:13580:9,NA,NA,0.14,2.9,0.67,0.73,0.11,0.27,0.42,3.39,0.74,0.16,4.17,0.23
ESPRESSO:chr18:13581:1,NA,NA,0.14,2.9,0.67,0.73,0.11,0.27,0.42,3.39,0.74,0.16,4.17,0.23
ENST00000444659.6,DTNA-207,ENSG00000134769.23,0,0.09,0.52,0,0,1.46,1.34,0.48,1.01,1.82,0.07,1.17
ENST00000590727.1,DTNA-219,ENSG00000134769.23,6.83,5.4,5.9,0.43,5.5,8.7,12.48,10.41,5.43,16.58,38.8,6.07
ENST00000597674.5,DTNA-228,ENSG00000134769.23,13.33,1.11,33.26,0,4.8,53.15,38.52,0.01,14.88,68.11,0.02,5.94
ENST00000595022.5,DTNA-225,ENSG00000134769.23,1.38,0.52,0,0.01,3.85,0,7.78,0.11,2.54,3.73,7.03,0
ENST00000679731.1,DTNA-237,ENSG00000134769.23,14,3.11,52.82,0,10.2,75.73,92.56,2.78,20.79,68.41,0,7.1
ESPRESSO:chr18:13585:47,NA,ENSG00000134769.23,0,1.56,2.97,0,1.03,3.77,2.75,0.01,1.5,2.84,0,0.96
ESPRESSO:chr18:13585:49,NA,ENSG00000134769.23,0,0.06,13.36,0.78,5.09,28.64,8.03,1.48,2.37,18.72,0.02,3.65
ESPRESSO:chr18:13585:54,NA,ENSG00000134769.23,9.55,2.67,6.16,0,3.57,6.71,29.2,0.39,14.08,57.45,2.32,6.36
ESPRESSO:chr18:13585:33,NA,ENSG00000134769.23,1.1,1.56,4.66,0.78,0.35,9.61,5.03,0.01,3.84,9.57,0.02,0.38
ESPRESSO:chr18:13585:21,NA,ENSG00000134769.23,0.64,0,3,0.06,0.91,4.66,4.12,0.04,0.91,6.68,0,1.13
ESPRESSO:chr18:13585:60,NA,ENSG00000134769.23,0.04,0.52,0.78,0,2.87,2.03,23.75,0.48,4.46,28.21,7.03,1.81
ESPRESSO:chr18:13585:20,NA,ENSG00000134769.23,0.04,0.86,0.63,0.06,0.22,1.08,1.17,0,0.73,0.42,3.19,0.69
ESPRESSO:chr18:13585:15,NA,ENSG00000134769.23,1.01,2.9,0.8,0,0.99,4.65,3.31,0,0.56,2.66,0,0.08
ESPRESSO:chr18:13585:38,NA,ENSG00000134769.23,0,2.67,0.4,0,0,0,2.41,0.39,0.98,5.13,2.32,0.73
ESPRESSO:chr18:13585:40,NA,ENSG00000134769.23,0.98,0,1.26,0,0.88,2.09,1.97,0,1.08,2.1,0,1.08
ESPRESSO:chr18:13585:53,NA,ENSG00000134769.23,2.48,1.1,2.27,0.01,0.79,1.35,2.83,0.06,0,3.89,0,1.97
ESPRESSO:chr18:13585:52,NA,ENSG00000134769.23,0.02,1.1,11.78,0.01,8.43,6.59,29.82,0.06,6.37,8.19,0,6.81
ESPRESSO:chr18:13585:55,NA,ENSG00000134769.23,3.88,0,5.84,0,8.65,0,10.59,3.59,12.11,29.33,0.07,0
ESPRESSO:chr18:13585:31,NA,ENSG00000134769.23,0.42,0,1.85,0.07,0,3.06,1.42,0,1.47,1.23,0,0.72
ESPRESSO:chr18:13585:32,NA,ENSG00000134769.23,0,1.56,2.51,0,3.41,9.16,6.03,0.01,2.43,7.1,0,2
ESPRESSO:chr18:13585:59,NA,ENSG00000134769.23,0,0.06,1.63,0.02,3.36,5.64,4.12,1.41,3.08,7.03,0,1.24
ESPRESSO:chr18:13585:63,NA,ENSG00000134769.23,1.55,0.09,1.06,0,7.69,1.72,8.39,0.48,1.81,17.38,0.07,4.02
ESPRESSO:chr18:13585:61,NA,ENSG00000134769.23,0,0,2.13,0,3.23,3.34,3.74,3.76,1.41,13.88,0.07,5.14
ENST00000300249.10,MAPRE2-201,ENSG00000166974.13,4.21,1.53,2.04,0.55,2.65,14.34,11.67,0,8.91,7.64,9.17,8.86
ENST00000588085.1,MAPRE2-207,ENSG00000166974.13,1.01,0,1.47,0.97,1.5,1.26,0.21,0,2.03,0.66,0,1.07
ENST00000413393.5,MAPRE2-202,ENSG00000166974.13,1.18,1.53,13.29,0.73,6.51,4.94,9.97,0,1.33,8.41,0,2.66
ENST00000585592.1,MAPRE2-205,ENSG00000166974.13,0.72,0.97,0,0,0.11,0.36,0.84,0,0.83,0.66,2.5,0.15
ENST00000333206.10,ZSCAN30-201,ENSG00000186814.14,1.15,0.97,0.86,0.24,1.06,0.84,0,0.48,0.52,0.33,0,1.68
ENST00000355632.8,ZNF397-203,ENSG00000186812.13,0.43,0,2.94,0,0.82,0.95,0.74,0,2.95,0.81,0,0.11
ESPRESSO:chr18:13590:5,NA,NA,1.59,0,1.16,0.6,1.07,0.72,0.11,0.97,1.38,0,0.42,0.46
ENST00000639141.1,ZNF271P-204,ENSG00000257267.5,3.1,2.9,2.79,4.35,3.2,3.24,3.05,2.66,3.41,2.39,1.88,3.31
ENST00000465539.3,ZNF271P-202,ENSG00000257267.5,3.1,2.9,2.79,4.35,3.2,3.24,3.05,2.66,3.41,2.39,1.88,3.31
ENST00000638208.3,ZNF271P-203,ENSG00000257267.5,58.95,98.15,58.02,66.53,109.68,65.48,68.77,84.26,67.99,123.44,47.96,70.28
ENST00000399070.3,ZNF271P-201,ENSG00000257267.5,21.61,2.9,33.99,18.5,25.74,21.89,32.44,7.75,25.23,27.97,7.09,16.9
ENST00000399061.3,ZNF24-202,ENSG00000172466.16,0,0,3.9,1.21,1.81,1.72,2.79,0,0.21,2.18,3.96,1.35
ESPRESSO:chr18:13592:3,NA,ENSG00000172466.16,0,0,1.78,0,1.16,2.84,1.62,0,1.72,0,3.96,0
ENST00000441607.6,INO80C-203,ENSG00000153391.16,4.61,0.97,0.56,0.12,2.58,3.58,2.57,1.45,8.89,0.82,1.67,5.25
ENST00000590757.1,INO80C-210,ENSG00000153391.16,0.86,0.97,5.51,2.66,0.75,2.25,5.27,0,2.12,3.13,0,1.83
ENST00000334598.12,INO80C-202,ENSG00000153391.16,7.35,2.42,10.03,15.6,8.96,11.36,18.39,0.16,12.97,11.39,0.7,6.08
ENST00000269195.6,GALNT1-201,ENSG00000141429.14,0.58,2.42,3.43,3.27,2.78,3.06,5.48,0,2.21,2.8,0,2.21
ENST00000587873.5,C18orf21-204,ENSG00000141428.17,0.19,0,1.08,0.68,0.34,1.5,1.35,0.75,0.56,0.46,0,1.63
ENST00000333234.5,C18orf21-202,ENSG00000141428.17,0.19,0,1.08,0.68,0.34,1.5,1.35,0.75,0.56,0.46,0,1.63
ENST00000610527.4,C18orf21-207,ENSG00000141428.17,0,0,1.77,2.03,1.27,1.8,3.41,0,1.21,3.2,1.34,0.25
ENST00000592875.6,C18orf21-205,ENSG00000141428.17,27.67,15.96,16.99,8.37,18.21,47.5,15.45,20.77,17.51,15.11,4.4,25.58
ENST00000399022.9,RPRD1A-202,ENSG00000141425.18,1.87,0.81,4.4,0.6,3.83,5.44,6,0.24,6.88,2.41,4.59,2.32
ENST00000269187.10,SLC39A6-201,ENSG00000141424.13,0.24,0,10.73,3.36,5.43,5.76,7.23,0,5.7,5.59,0,3.44
ENST00000358232.11,ELP2-203,ENSG00000134759.14,5.19,0.29,5.17,8.44,7.82,1.59,10,0.58,6.62,3.21,0.58,5.74
ENST00000541748.5,ELP2-218,ENSG00000134759.14,7.49,0.48,2.51,3.51,2.35,3.51,2.11,5.81,1.75,1.32,4.59,0.76
ENST00000536830.1,ELP2-209,ENSG00000134759.14,5.77,3.87,4.17,4.96,4.38,8.02,4.84,8.23,7.19,3.79,7.09,2.66
ENST00000351393.10,ELP2-202,ENSG00000134759.14,0,0.29,1.39,2.2,1.25,3.51,0.36,0.58,3.03,0.64,0.58,0.85
ENST00000568654.2,COSMOC-201,ENSG00000260552.3,0.58,0,3.74,7.02,1.39,0.54,4.95,0,1.2,1.48,0,0.53
ENST00000544274.1,ELP2-226,ENSG00000134759.14,10.52,21.27,4.66,11.73,10.57,12.43,7.58,21.79,9.4,5.6,7.51,9.37
ENST00000590652.5,TPGS2-213,ENSG00000134779.15,3.6,7.25,0,0,1.39,0.63,0.53,0,1.47,1.48,2.09,1.14
ENST00000591648.1,TPGS2-216,ENSG00000134779.15,0,0.97,0.49,0.12,0.32,0.81,0,1.94,0.55,0,2.92,0.76
ENST00000592128.5,FHOD3-208,ENSG00000134775.16,8.22,1.45,1.1,1.3,6.09,9.19,7.9,4.36,12.99,9.05,1.25,11.88
ENST00000280020.10,KIAA1328-201,ENSG00000150477.15,0.5,4.15,2.6,4.24,3.94,3.08,1.02,2.91,1.84,2.06,4.17,1.97
ENST00000614939.4,TPGS2-221,ENSG00000134779.15,1.64,0,1.28,1.55,0.33,1.7,0.95,0,1.11,0.17,0,0.61
ENST00000590842.5,TPGS2-215,ENSG00000134779.15,23.65,4.46,5.41,10.41,6.47,14.17,8.33,3.39,13.27,8.43,7.92,18.77
ENST00000334295.9,TPGS2-201,ENSG00000134779.15,4.15,0.66,11.87,5.27,8.24,12.14,11.53,1.45,14.74,10.82,0,13.26
ENST00000589049.5,TPGS2-209,ENSG00000134779.15,0.3,0,0.8,0.48,0.76,1.27,1.47,0,2.3,2.99,0,0.23
ESPRESSO:chr18:13610:44,NA,ENSG00000134779.15,0.82,0,0.25,2.06,0.54,0.27,2.95,0.97,0.83,0.68,0,2.59
ESPRESSO:chr18:13610:50,NA,ENSG00000134775.16,2.31,2.9,0,0.6,1.59,1.26,1.26,0.48,1.2,2.14,4.59,1.68
ESPRESSO:chr18:13610:3,NA,NA,0.72,0.97,0.37,0.48,0.11,0.54,0.32,2.91,0.55,0.82,1.67,0.69
ENST00000690997.2,ENST00000690997,ENSG00000285940.4,5.62,1.45,0.25,0.24,6.83,2.7,1.58,2.91,1.01,2.3,7.92,5.18
ENST00000635791.3,ENST00000635791,ENSG00000283458.3,0.79,2.9,1.29,0,0.55,0.99,4.32,8.72,1.47,1.15,11.26,1.22
ENST00000587328.2,PIK3C3-206,ENSG00000078142.14,2.47,0,2.62,6.1,1.4,1.49,3.61,0,3.52,2.3,1.83,0.71
ENST00000588156.5,PIK3C3-208,ENSG00000078142.14,2.24,1.24,4.37,8.68,3.44,2.27,2.93,2.99,4.57,4.38,0,4.41
ENST00000262039.9,PIK3C3-201,ENSG00000078142.14,4.7,7.06,7.8,13.05,10.43,5.19,12.48,1.83,11.09,15.46,3.69,11.69
ENST00000593098.5,PIK3C3-215,ENSG00000078142.14,0,0,0.71,0,1.35,0,0.68,1.83,0.91,0.49,0,1.06
ENST00000589056.5,PIK3C3-210,ENSG00000078142.14,5.93,8.81,0.34,0.74,1.77,0.37,0.79,3.75,0,0.44,12.89,0.71
ESPRESSO:chr18:13626:13,NA,ENSG00000078142.14,4.7,7.06,1.91,0.39,0,1.13,4.48,1.83,0,0.77,3.69,0.35
ENST00000326695.10,RIT2-201,ENSG00000152214.14,12.81,1.93,0.67,0.12,7.93,23.68,3.62,3.52,23.88,2.63,0,28.65
ENST00000255224.8,SYT4-201,ENSG00000132872.12,4.9,1.45,0.06,0,1.71,5.67,1.79,4.36,4.61,1.65,6.67,5.48
ENST00000649279.2,SETBP1-203,ENSG00000152217.20,1.59,1.93,0,3.14,0.85,2.07,3.79,1.45,1.2,2.14,6.26,0.61
ENST00000586142.5,SLC14A1-208,ENSG00000141469.18,0,0.68,7.49,0,3.11,3.47,2.41,0,4.02,0.66,0,2.16
ENST00000591541.2,SLC14A1-217,ENSG00000141469.18,1.63,1.45,4.6,0,3.1,1.53,6.6,0,2.12,1.65,0.83,1.84
ENST00000321925.9,SLC14A1-201,ENSG00000141469.18,3.12,0.68,17.71,0,8.73,3.44,27.38,0,8.55,8.21,0,4.72
ESPRESSO:chr18:13640:12,NA,NA,3.17,8.22,1.04,1.45,0.85,1.17,2.84,6.3,2.12,5.6,11.68,1.29
ESPRESSO:chr18:13640:15,NA,NA,0.14,1.93,1.04,0,1.28,0,0.53,0.97,0.18,0,0.83,0.76
ESPRESSO:chr18:13640:4,NA,NA,2.88,4.35,2.33,0.85,0.64,2.7,1.79,7.26,0.74,3.29,7.09,0.84
ESPRESSO:chr18:13642:18,NA,ENSG00000152223.16,4.32,8.22,1.04,2.54,4.49,2.61,0.84,7.75,1.93,1.98,12.09,0.53
ESPRESSO:chr18:13642:16,NA,ENSG00000152223.16,1.87,2.9,0,0.36,1.39,0.54,1.9,0.48,0,0.82,2.5,0.23
ENST00000588390.1,ATP5F1A-207,ENSG00000152234.16,1.59,0.48,0.43,0.12,0.64,2.16,0.32,0,0.74,0.16,2.92,0.53
ENST00000398752.11,ATP5F1A-202,ENSG00000152234.16,828.16,387.35,252.61,366.17,501.47,959.1,476.2,422.71,722.67,445.04,344.15,751.44
ESPRESSO:chr18:13645:4,NA,ENSG00000152234.16,6.7,5.55,2.46,3.59,3.12,8.45,3.92,1.41,7.2,3.04,5.46,6.29
ESPRESSO:chr18:13645:15,NA,ENSG00000152234.16,0,0,1.45,3.73,1.8,11.13,0.29,0,6.08,3.02,4.95,5.47
ESPRESSO:chr18:13645:6,NA,ENSG00000152234.16,4.53,2.12,0.4,2.19,0.36,1.57,1.66,4.6,1.25,1.01,1.77,1.11
ESPRESSO:chr18:13645:12,NA,ENSG00000152234.16,0,0,1.07,2.59,5.77,0.84,2.28,0,2.74,1.01,137.76,0
ESPRESSO:chr18:13645:5,NA,ENSG00000152234.16,9.25,0,4.3,6.36,6.43,12.9,8.15,7.1,8.57,6.35,3.71,10.19
ENST00000585518.5,HAUS1-203,ENSG00000152240.13,1.15,0,0.93,1.25,0.75,3.24,1.69,0,0.38,1.32,0,1.07
ENST00000282058.11,HAUS1-201,ENSG00000152240.13,7.41,1.61,11.11,24.27,12.19,5.7,12.99,4.84,10.49,10.82,6.67,7.71
ENST00000619230.1,C18orf25-205,ENSG00000152242.11,4.61,4.35,1.04,4.35,2.67,2.79,2.84,13.56,1.66,2.63,38.37,1.83
ENST00000619301.4,C18orf25-206,ENSG00000152242.11,0,0.73,1.08,1.29,1.44,2.02,0.84,0,2.81,0.82,0,0.84
ENST00000585916.6,PIAS2-204,ENSG00000078043.16,0,0,0.92,0.14,0.82,1.45,1.16,0,5.08,0.74,0,1
ENST00000324794.11,PIAS2-201,ENSG00000078043.16,5.29,8.22,0.64,1.43,4.93,5.43,1.37,7.69,3.29,1.3,5.42,8.73
ESPRESSO:chr18:13651:5,NA,ENSG00000167216.19,2.1,0,0.86,2.54,1.5,0.18,2.84,1.45,1.01,3.79,0,1.83
ENST00000256433.6,IER3IP1-201,ENSG00000134049.6,72.64,26.11,70.38,105.47,48.59,99.05,85.41,25.18,71.56,70.11,25.44,63.73
ENST00000300605.11,HDHD2-201,ENSG00000167220.12,7.93,2.4,22.71,5.57,18.23,19.48,23.39,7.22,12.25,13.63,5,15.65
ENST00000588183.5,HDHD2-205,ENSG00000167220.12,1.78,0,5.96,0.62,6.08,2.25,2.54,0.02,4.14,9.2,0,3.64
ESPRESSO:chr18:13652:13,NA,NA,2.88,0.97,1.78,0.24,1.07,2.61,3.69,0,0.09,1.81,0,0.76
ESPRESSO:chr18:13652:17,NA,"ENSG00000167220.12,ENSG00000267228.7",1.98,0,1.81,0,0.13,0.59,1.61,0.02,1.19,1.11,2.5,0.8
ENST00000262160.11,SMAD2-201,ENSG00000175387.16,0.08,0.48,4.63,1.73,3.28,6.11,4.57,0,0,5.44,0.47,2.44
ENST00000402690.6,SMAD2-203,ENSG00000175387.16,4.71,0.48,2.65,6.57,1.65,0,5.87,1.69,9.07,9.06,0.47,3.25
ESPRESSO:chr18:13658:14,NA,ENSG00000175387.16,0.08,0.48,2.56,1.22,1.16,0,3.52,0,1.43,1.94,0.47,3.05
ESPRESSO:chr18:13659:12,NA,NA,5.91,17.89,5.57,5.81,2.03,5.85,5.69,24.21,3.5,8.39,17.93,3.73
ESPRESSO:chr18:13660:0,NA,NA,5.91,17.89,5.57,5.81,2.03,5.85,5.69,24.21,3.5,8.39,17.93,3.73
ESPRESSO:chr18:13663:15,NA,ENSG00000134030.14,12.83,21.76,0.67,7.38,11.11,4.14,4.42,12.11,6.08,9.38,28.36,6.4
ENST00000269445.10,DYM-201,ENSG00000141627.14,10.67,4.32,7.55,10,6.2,9.35,9.26,4.35,6.82,6.04,1.77,8.75
ENST00000579248.5,RPL17-204,ENSG00000265681.8,4.06,1.64,9.8,10.15,10.55,10.39,11.73,7.15,8.16,13.99,1.32,8.79
ENST00000579408.5,RPL17-205,ENSG00000265681.8,36.15,16.59,55.82,58.41,52.79,53,72.11,14.29,70.69,45.86,6.16,54.13
ENST00000582588.1,RPL17-214,ENSG00000265681.8,0.79,1.21,0.67,0.85,0.43,0.41,1,1.45,0.64,0.66,0,0.38
ENST00000581741.1,RPL17-213,ENSG00000265681.8,0.79,1.21,0.67,0.85,0.43,0.41,1,1.45,0.64,0.66,0,0.38
ENST00000318240.8,C18orf32-201,ENSG00000177576.12,8.25,7.45,8.38,26.28,93.86,43.17,99.43,9.99,68.64,105.28,2.11,44.44
ENST00000581373.5,RPL17-212,ENSG00000265681.8,0,0,6.23,2,2.4,2.6,0,0.49,2.97,0.22,3.04,3.94
ENST00000618619.4,RPL17-224,ENSG00000265681.8,0,1.64,1.71,1.6,1.44,3.67,1.93,0,0.47,0,0,0.93
ENST00000580261.6,RPL17-208,ENSG00000265681.8,641.41,129.31,1428.76,1057.33,934.57,1079.66,1104.03,255.17,911.16,942.2,112.74,1038.29
ENST00000580210.5,RPL17-207,ENSG00000265681.8,0.15,0.54,1.88,2.38,1.41,1.2,1.17,0,1.71,1,0,1.86
ENST00000613385.4,C18orf32-203,ENSG00000177576.12,35.37,9.48,213.48,61.57,100.16,96.82,135.16,34.08,97.23,110.11,3.17,102.23
ENST00000584364.5,RPL17-219,ENSG00000265681.8,35.41,20.42,16.49,32.36,15.44,24.11,15.94,13.99,20.86,12.4,10.86,24.74
ENST00000578532.5,RPL17-202,ENSG00000265681.8,22.24,3.98,15.82,18.04,18.46,23.63,16,10.79,21.12,28.6,1.26,24.01
ESPRESSO:chr18:13669:36,NA,"ENSG00000265681.8,ENSG00000215472.10",0.27,0,3.56,1.24,3.02,3.41,4.85,0,2.76,0.46,0,2.35
ESPRESSO:chr18:13669:46,NA,"ENSG00000265681.8,ENSG00000215472.10",3.75,0,7.32,5.68,1.6,16.4,10.4,3.07,2.52,5.06,0,5.12
ESPRESSO:chr18:13669:13,NA,"ENSG00000265681.8,ENSG00000215472.10",0,0,11.1,2.63,3.27,7.06,0.9,2.5,6.31,0.66,1.31,8.27
ESPRESSO:chr18:13669:29,NA,"ENSG00000265681.8,ENSG00000215472.10",0,0,1.18,1.23,0.33,1.39,0.75,0,0.75,0.66,0,0.93
ESPRESSO:chr18:13669:26,NA,"ENSG00000265681.8,ENSG00000215472.10",3.39,0,6.57,5.14,4.63,5.29,5.09,0.5,3.44,5.32,1.31,4.7
ESPRESSO:chr18:13669:23,NA,"ENSG00000265681.8,ENSG00000215472.10",0.75,0,1.67,0.62,0.65,0.73,0.42,0,0.94,1,0,0.85
ESPRESSO:chr18:13669:5,NA,ENSG00000177576.12,0.29,0.48,1.26,0.76,0.98,0.92,1.73,0,0.65,1.02,0,0.86
ESPRESSO:chr18:13669:44,NA,"ENSG00000265681.8,ENSG00000215472.10,ENSG00000177576.12",0,0,4.77,1.91,1.07,1.21,3.1,0,0.75,4.04,0.96,3.56
ESPRESSO:chr18:13669:15,NA,"ENSG00000265681.8,ENSG00000215472.10",3.78,2.03,7.03,3.89,5.9,6.44,5.92,1.47,5,5.3,0.42,6.67
ESPRESSO:chr18:13669:38,NA,"ENSG00000265681.8,ENSG00000215472.10",0.15,1.61,10.03,3.91,4.29,9.7,1.69,1.49,5.84,0.16,0.87,4.61
ESPRESSO:chr18:13669:30,NA,"ENSG00000265681.8,ENSG00000215472.10",0,0.55,0.93,1.48,1.11,0.83,0.54,0,1.03,0.83,0,0.54
ESPRESSO:chr18:13669:18,NA,"ENSG00000265681.8,ENSG00000215472.10",0.58,0,1.85,1.46,1.18,1,1.48,1.49,0.19,0.5,0,1.08
ESPRESSO:chr18:13669:42,NA,"ENSG00000265681.8,ENSG00000215472.10",32.89,9.71,68.73,51.41,58.6,69.07,119.85,6.14,110.51,68.43,3.08,85.73
ESPRESSO:chr18:13669:35,NA,"ENSG00000265681.8,ENSG00000215472.10",0.35,0,0.58,0.57,0.89,0.47,1.71,0,0.69,1.81,0,0.26
ESPRESSO:chr18:13669:21,NA,"ENSG00000265681.8,ENSG00000215472.10",1.2,0.55,4.21,1.73,4.34,3.21,2.55,0.5,2.43,3.82,1.32,2.09
ESPRESSO:chr18:13669:1,NA,NA,2.02,1.45,0.55,0.85,0.32,1.35,0.74,0,2.03,1.15,0.83,1.14
ESPRESSO:chr18:13669:43,NA,"ENSG00000265681.8,ENSG00000215472.10",1.04,0,7.84,6.15,3.7,2.87,6.61,0,4.47,4.34,0,6.37
ENST00000591171.1,ACAA2-207,ENSG00000167315.18,12.83,3.87,10.23,7.86,12.6,7.12,13.8,7.75,6.54,12.84,0,6.93
ENST00000587994.5,ACAA2-205,ENSG00000167315.18,0.22,1.45,3.53,0,5.6,1.5,2.52,0,3.83,9.51,2.19,2.01
ENST00000592688.1,MYO5B-207,ENSG00000167306.21,1.59,0,0,3.75,0.75,0.99,0.53,0.97,0.28,0,1.25,0.08
ENST00000285093.15,ACAA2-201,ENSG00000167315.18,11.96,1.45,44.96,16.81,57.02,27.86,54.88,10.17,32.37,60.55,2.19,21.44
ESPRESSO:chr18:13675:15,NA,ENSG00000167306.21,1.59,4.83,0.06,4.48,0.21,0.54,0.63,1.94,3.04,1.65,0.83,0.3
ENST00000398545.5,CFAP53-201,ENSG00000172361.6,2.74,0,1.9,1.09,1.17,1.88,1.05,0,2.52,2.09,0,1.52
ENST00000591416.5,MBD1-224,ENSG00000141644.19,0.69,0,2.81,2.84,1.29,1.34,2.26,0,1.21,2.19,2.09,0.31
ESPRESSO:chr18:13678:14,NA,ENSG00000141644.19,1.15,0,0.31,0.97,0.85,0.71,0.32,0,1.43,1.21,0,0.13
ENST00000587342.1,CXXC1-209,ENSG00000154832.16,13.55,10.64,5.21,5.69,16.66,12.34,12.64,13.07,10.59,9.22,30.44,7.46
ENST00000285106.11,CXXC1-201,ENSG00000154832.16,2.21,0.48,5.1,4.05,8.62,9.71,10.08,4.84,8.49,8.28,9.01,8.41
ENST00000673786.1,CXXC1-218,ENSG00000154832.16,1.11,0.48,2.91,4.86,3.59,3.36,4.86,0,4.15,3.47,6.01,5.83
ENST00000587170.1,CXXC1-208,ENSG00000154832.16,3.46,4.83,5.62,3.14,8.31,7.21,9.79,4.36,6.7,7.74,4.17,4.86
ESPRESSO:chr18:13679:7,NA,ENSG00000154832.16,0,0,1.61,0.25,1.43,1.71,4.06,0,1.24,3.06,0,0.6
ENST00000398439.8,MRO-202,ENSG00000134042.14,0.72,0.36,2.65,1.31,1.38,1.42,3.58,0.85,1.38,0.68,0,2.04
ENST00000585524.5,MRO-206,ENSG00000134042.14,0.72,0.36,2.65,1.31,1.38,1.42,3.58,0.85,1.38,0.68,0,2.04
ESPRESSO:chr18:13685:20,NA,ENSG00000134042.14,0,0.73,0.88,0,0.55,0.66,0.64,1.69,0.68,0.89,0.42,1.83
ENST00000321341.11,ME2-201,ENSG00000082212.13,2.84,0.64,7.34,1.96,5.73,3.47,13.13,0.64,4.61,6.67,3.06,4.42
ENST00000591925.2,ME2-205,ENSG00000082212.13,0.14,0,1.47,0.97,1.82,2.34,0.11,0,1.57,1.81,0,1.45
ENST00000269466.8,ELAC1-201,ENSG00000141642.9,0.72,0.48,3.13,4.11,3.62,1.62,3,0.48,5.65,1.81,0,2.08
ENST00000342988.8,SMAD4-201,ENSG00000141646.15,0,0,1.1,1.45,1.5,0.63,5.62,0,0.37,2.05,0,0.69
ENST00000586966.2,ELAC1-202,ENSG00000141642.9,0,0,0.92,0.73,2.14,1.08,1.47,0,0.55,2.3,0,0.46
ENST00000655280.2,LINC01630-209,ENSG00000227115.10,0.79,0,26.96,0.24,15.16,6.58,0.74,1.94,3.32,6.75,0,7.16
ENST00000256429.8,MBD2-201,ENSG00000134046.12,11.1,1.45,9.69,28.43,15.84,5.43,14.8,5.6,13.42,19.77,0.97,7.29
ENST00000579534.6,POLI-208,ENSG00000101751.11,1.15,0,1.45,0.24,1.31,1.71,0.97,0,1.29,0.82,0,1.75
ENST00000457482.7,TCF4-204,ENSG00000196628.20,0.28,0.01,2.31,1.87,2.76,1.06,4.11,0.75,3.08,6.25,1.36,3.62
ENST00000217515.11,TXNL1-201,ENSG00000091164.13,93.23,38.89,94.26,82.45,79.35,128.43,103.73,33.41,143.48,85.06,27.77,122.74
ENST00000357574.7,WDR7-202,ENSG00000091157.15,13.78,26.56,4.86,2.38,8.83,5.48,7.01,25.04,6.55,9.53,31.14,6.32
ENST00000591524.1,WDR7-211,ENSG00000091157.15,0.87,0,0.1,1.73,0.89,0,1.53,1.51,0,2.45,0,1.15
ESPRESSO:chr18:13717:24,NA,ENSG00000091164.13,0.89,0.53,2.33,2.59,1.11,2.57,2.48,0.48,3.6,1.35,0,2.49
ESPRESSO:chr18:13717:35,NA,ENSG00000091157.15,8.82,10.17,0.49,0,3.61,1.91,0.94,4.42,1.96,2.92,11.39,6.67
ENST00000324000.4,ST8SIA3-201,ENSG00000177511.6,4.61,1.93,0.06,0,0.11,0.81,3.16,1.45,2.03,1.32,2.09,2.21
ENST00000262093.11,FECH-201,ENSG00000066926.13,1.13,0,3.47,0.36,4,2.61,1.14,0,2.12,2.47,0,1.41
ENST00000256854.10,NARS1-201,ENSG00000134440.12,12.89,2.33,29.35,8.09,24.61,39.47,31.25,9.6,40.96,18.5,7,26.7
